ESP		EPOCA	RESP
PAT2EV1	0		0
PAT2EV1	2		23,02
PAT2EV1	4		52,13
PAT2EV1	6		68,25
PAT2EV1	8		91,51
PAT2EV1	12		103,37
PAT2EV1	16		106,37
PAT2EV1	20		101,93
PAT2EV1	24		106,89
PAT2EV2	0		0
PAT2EV2	2		22,12
PAT2EV2	4		63,87
PAT2EV2	6		79,29
PAT2EV2	8		94,71
PAT2EV2	12		103,29
PAT2EV2	16		111,87
PAT2EV2	20		113,25
PAT2EV2	24		114,63
PAT2EV3	0		0
PAT2EV3	2		19,96
PAT2EV3	4		44,78
PAT2EV3	6		70,25
PAT2EV3	8		88,50
PAT2EV3	12		103,27
PAT2EV3	16		109,18
PAT2EV3	20		109,75
PAT2EV3	24		110,11
GVT2EV1	0		0
GVT2EV1	2		2,97
GVT2EV1	4		11,43
GVT2EV1	6		25,33
GVT2EV1	8		45,09
GVT2EV1	12		73,32
GVT2EV1	16		90,25
GVT2EV1	20		96,35
GVT2EV1	24		98,88
GVT2EV2	0		0
GVT2EV2	2		3,26
GVT2EV2	4		9,71
GVT2EV2	6		24,45
GVT2EV2	8		44,78
GVT2EV2	12		72,43
GVT2EV2	16		100,08
GVT2EV2	20		103,73
GVT2EV2	24		107,39
GVT2EV3	0		0
GVT2EV3	2		1,98
GVT2EV3	4		7,18
GVT2EV3	6		18,78
GVT2EV3	8		30,42
GVT2EV3	12		70,59
GVT2EV3	16		85,32
GVT2EV3	20		94,42
GVT2EV3	24		98,18
GBT2EV1	0		0
GBT2EV1	2		4,87
GBT2EV1	4		27,02
GBT2EV1	6		49,16
GBT2EV1	8		71,42
GBT2EV1	12		93,69
GBT2EV1	16		102,38
GBT2EV1	20		111,06
GBT2EV1	24		114,81
GBT2EV2	0		0
GBT2EV2	2		4,15
GBT2EV2	4		26,94
GBT2EV2	6		50,01
GBT2EV2	8		73,08
GBT2EV2	12		89,15
GBT2EV2	16		105,23
GBT2EV2	20		106,50
GBT2EV2	24		107,77
GBT2EV3	0		0
GBT2EV3	2		6,86
GBT2EV3	4		19,54
GBT2EV3	6		40,39
GBT2EV3	8		61,72
GBT2EV3	12		88,02
GBT2EV3	16		88,77
GBT2EV3	20		101,07
GBT2EV3	24		99,93
PVT2EV1	0		0
PVT2EV1	2		24,26
PVT2EV1	4		44,21
PVT2EV1	6		57,27
PVT2EV1	8		66,90
PVT2EV1	12		70,85
PVT2EV1	16		92,59
PVT2EV1	20		96,03
PVT2EV1	24		99,32
PVT2EV2	0		0
PVT2EV2	2		24,99
PVT2EV2	4		45,10
PVT2EV2	6		57,96
PVT2EV2	8		66,89
PVT2EV2	12		79,64
PVT2EV2	16		85,49
PVT2EV2	20		90,54
PVT2EV2	24		94,18
PVT2EV3	0		0
PVT2EV3	2		23,40
PVT2EV3	4		46,62
PVT2EV3	6		57,90
PVT2EV3	8		69,22
PVT2EV3	12		87,70
PVT2EV3	16		100,76
PVT2EV3	20		101,42
PVT2EV3	24		102,70
EXT2EV1	0		0
EXT2EV1	2		5,41
EXT2EV1	4		18,14
EXT2EV1	6		42,31
EXT2EV1	8		68,37
EXT2EV1	12		94,98
EXT2EV1	16		100,33
EXT2EV1	20		101,13
EXT2EV1	24		101,02
EXT2EV2	0		0
EXT2EV2	2		3,33
EXT2EV2	4		16,25
EXT2EV2	6		41,61
EXT2EV2	8		69,06
EXT2EV2	12		93,61
EXT2EV2	16		99,20
EXT2EV2	20		100,71
EXT2EV2	24		102,00
EXT2EV3	0		0
EXT2EV3	2		4,88
EXT2EV3	4		17,45
EXT2EV3	6		45,12
EXT2EV3	8		69,09
EXT2EV3	12		89,29
EXT2EV3	16		98,93
EXT2EV3	20		104,22
EXT2EV3	24		106,14
PQT2EV1	0		0
PQT2EV1	2		64,33
PQT2EV1	4		86,22
PQT2EV1	6		95,62
PQT2EV1	8		91,25
PQT2EV1	12		105,18
PQT2EV1	16		105,90
PQT2EV1	20		106,33
PQT2EV1	24		106,00
PQT2EV2	0		0
PQT2EV2	2		59,53
PQT2EV2	4		77,57
PQT2EV2	6		94,81
PQT2EV2	8		100,23
PQT2EV2	12		104,72
PQT2EV2	16		106,30
PQT2EV2	20		106,92
PQT2EV2	24		106,96
PQT2EV3	0		0
PQT2EV3	2		64,02
PQT2EV3	4		88,36
PQT2EV3	6		95,10
PQT2EV3	8		97,92
PQT2EV3	12		103,14
PQT2EV3	16		108,58
PQT2EV3	20		109,54
PQT2EV3	24		100,63
