ESP		EPOCA	RESP
PAT2SB1	0		0
PAT2SB1	2		20,12
PAT2SB1	4		66,00
PAT2SB1	6		82,03
PAT2SB1	8		93,81
PAT2SB1	12		103,70
PAT2SB1	16		110,56
PAT2SB1	20		112,18
PAT2SB1	24		111,53
PAT2SB2	0		0
PAT2SB2	2		19,75
PAT2SB2	4		65,82
PAT2SB2	6		82,97
PAT2SB2	8		96,19
PAT2SB2	12		103,87
PAT2SB2	16		110,51
PAT2SB2	20		114,42
PAT2SB2	24		112,91
PAT2SB3	0		0
PAT2SB3	2		21,20
PAT2SB3	4		56,06
PAT2SB3	6		77,78
PAT2SB3	8		89,98
PAT2SB3	12		100,36
PAT2SB3	16		108,18
PAT2SB3	20		107,01
PAT2SB3	24		112,42
GVT2SB1	0		0
GVT2SB1	2		3,96
GVT2SB1	4		14,74
GVT2SB1	6		33,27
GVT2SB1	8		46,39
GVT2SB1	12		80,40
GVT2SB1	16		100,09
GVT2SB1	20		99,12
GVT2SB1	24		108,25
GVT2SB2	0		0
GVT2SB2	2		3,98
GVT2SB2	4		14,12
GVT2SB2	6		34,09
GVT2SB2	8		46,46
GVT2SB2	12		80,74
GVT2SB2	16		99,14
GVT2SB2	20		100,43
GVT2SB2	24		107,86
GVT2SB3	0		0
GVT2SB3	2		4,88
GVT2SB3	4		15,18
GVT2SB3	6		37,33
GVT2SB3	8		49,78
GVT2SB3	12		85,50
GVT2SB3	16		103,47
GVT2SB3	20		105,90
GVT2SB3	24		107,53
GBT2SB1	0		0
GBT2SB1	2		8,19
GBT2SB1	4		36,51
GBT2SB1	6		77,80
GBT2SB1	8		78,49
GBT2SB1	12		101,34
GBT2SB1	16		100,62
GBT2SB1	20		107,84
GBT2SB1	24		104,50
GBT2SB2	0		0
GBT2SB2	2		8,58
GBT2SB2	4		37,36
GBT2SB2	6		78,58
GBT2SB2	8		79,19
GBT2SB2	12		102,95
GBT2SB2	16		102,07
GBT2SB2	20		108,69
GBT2SB2	24		104,51
GBT2SB3	0		0
GBT2SB3	2		7,12
GBT2SB3	4		34,68
GBT2SB3	6		62,67
GBT2SB3	8		81,25
GBT2SB3	12		97,04
GBT2SB3	16		109,10
GBT2SB3	20		110,29
GBT2SB3	24		111,10
PVT2SB1	0		0
PVT2SB1	2		20,01
PVT2SB1	4		39,01
PVT2SB1	6		47,25
PVT2SB1	8		58,16
PVT2SB1	12		76,60
PVT2SB1	16		92,50
PVT2SB1	20		94,77
PVT2SB1	24		95,52
PVT2SB2	0		0
PVT2SB2	2		20,88
PVT2SB2	4		39,51
PVT2SB2	6		48,00
PVT2SB2	8		54,53
PVT2SB2	12		68,20
PVT2SB2	16		80,97
PVT2SB2	20		90,20
PVT2SB2	24		98,19
PVT2SB3	0		0
PVT2SB3	2		19,64
PVT2SB3	4		38,70
PVT2SB3	6		46,48
PVT2SB3	8		52,44
PVT2SB3	12		79,76
PVT2SB3	16		91,88
PVT2SB3	20		89,92
PVT2SB3	24		90,30
EXT2SB1	0		0
EXT2SB1	2		10,11
EXT2SB1	4		22,13
EXT2SB1	6		36,21
EXT2SB1	8		58,30
EXT2SB1	12		72,60
EXT2SB1	16		89,35
EXT2SB1	20		95,67
EXT2SB1	24		101,03
EXT2SB2	0		0
EXT2SB2	2		4,04
EXT2SB2	4		11,05
EXT2SB2	6		25,47
EXT2SB2	8		43,04
EXT2SB2	12		91,80
EXT2SB2	16		103,36
EXT2SB2	20		103,28
EXT2SB2	24		103,24
EXT2SB3	0		0
EXT2SB3	2		5,79
EXT2SB3	4		16,05
EXT2SB3	6		26,55
EXT2SB3	8		49,42
EXT2SB3	12		85,37
EXT2SB3	16		93,74
EXT2SB3	20		95,11
EXT2SB3	24		98,07
PQT2SB1	0		0
PQT2SB1	2		51,48
PQT2SB1	4		80,21
PQT2SB1	6		91,67
PQT2SB1	8		97,59
PQT2SB1	12		104,88
PQT2SB1	16		106,49
PQT2SB1	20		107,27
PQT2SB1	24		108,11
PQT2SB2	0		0
PQT2SB2	2		47,41
PQT2SB2	4		80,55
PQT2SB2	6		91,15
PQT2SB2	8		97,13
PQT2SB2	12		104,73
PQT2SB2	16		106,55
PQT2SB2	20		107,06
PQT2SB2	24		107,90
PQT2SB3	0		0
PQT2SB3	2		48,27
PQT2SB3	4		80,57
PQT2SB3	6		91,69
PQT2SB3	8		98,99
PQT2SB3	12		107,85
PQT2SB3	16		106,33
PQT2SB3	20		107,80
PQT2SB3	24		110,52
