ESP		EPOCA	RESP
PAS21	0		0
PAS21	2		18,46
PAS21	4		42,14
PAS21	6		63,40
PAS21	8		77,91
PAS21	12		91,67
PAS21	16		95,46
PAS21	20		97,07
PAS21	24		98,69
PAS22	0		0
PAS22	2		14,41
PAS22	4		41,18
PAS22	6		65,44
PAS22	8		81,43
PAS22	12		94,53
PAS22	16		98,26
PAS22	20		99,79
PAS22	24		101,30
PAS23	0		0
PAS23	2		17,36
PAS23	4		40,32
PAS23	6		66,21
PAS23	8		78,12
PAS23	12		95,51
PAS23	16		100,17
PAS23	20		103,08
PAS23	24		103,53
GBS21	0		0
GBS21	2		4,19
GBS21	4		18,88
GBS21	6		37,66
GBS21	8		60,63
GBS21	12		86,49
GBS21	16		93,91
GBS21	20		96,60
GBS21	24		97,94
GBS22	0		0
GBS22	2		3,89
GBS22	4		14,21
GBS22	6		32,03
GBS22	8		54,31
GBS22	12		83,98
GBS22	16		97,37
GBS22	20		99,12
GBS22	24		100,17
GBS23	0		0
GBS23	2		3,91
GBS23	4		18,20
GBS23	6		31,23
GBS23	8		53,36
GBS23	12		78,89
GBS23	16		79,36
GBS23	20		100,24
GBS23	24		100,63
PVS21	0		0
PVS21	2		34,00
PVS21	4		73,19
PVS21	6		90,68
PVS21	8		98,73
PVS21	12		104,00
PVS21	16		105,45
PVS21	20		105,05
PVS21	24		104,99
PVS22	0		0
PVS22	2		27,34
PVS22	4		60,34
PVS22	6		79,16
PVS22	8		89,32
PVS22	12		98,68
PVS22	16		100,89
PVS22	20		101,82
PVS22	24		102,46
PVS23	0		0
PVS23	2		28,91
PVS23	4		72,56
PVS23	6		80,31
PVS23	8		88,99
PVS23	12		100,00
PVS23	16		105,04
PVS23	20		105,55
PVS23	24		104,50
