ESP		EPOCA	RESP
PAT2ET1	0		0
PAT2ET1	2		25,70
PAT2ET1	4		57,71
PAT2ET1	6		75,51
PAT2ET1	8		89,54
PAT2ET1	12		102,91
PAT2ET1	16		107,59
PAT2ET1	20		109,06
PAT2ET1	24		109,72
PAT2ET2	0		0
PAT2ET2	2		25,99
PAT2ET2	4		60,10
PAT2ET2	6		81,96
PAT2ET2	8		93,70
PAT2ET2	12		104,32
PAT2ET2	16		107,26
PAT2ET2	20		107,72
PAT2ET2	24		107,39
PAT2ET3	0		0
PAT2ET3	2		26,18
PAT2ET3	4		57,84
PAT2ET3	6		76,12
PAT2ET3	8		92,90
PAT2ET3	12		100,38
PAT2ET3	16		105,28
PAT2ET3	20		106,52
PAT2ET3	24		106,94
GVT2ET1	0		0
GVT2ET1	2		1,55
GVT2ET1	4		7,35
GVT2ET1	6		17,68
GVT2ET1	8		32,08
GVT2ET1	12		66,08
GVT2ET1	16		85,53
GVT2ET1	20		93,23
GVT2ET1	24		96,14
GVT2ET2	0		0
GVT2ET2	2		2,89
GVT2ET2	4		7,26
GVT2ET2	6		22,04
GVT2ET2	8		42,05
GVT2ET2	12		66,13
GVT2ET2	16		92,53
GVT2ET2	20		96,88
GVT2ET2	24		98,77
GVT2ET3	0		0
GVT2ET3	2		1,94
GVT2ET3	4		6,43
GVT2ET3	6		20,07
GVT2ET3	8		38,84
GVT2ET3	12		52,48
GVT2ET3	16		76,80
GVT2ET3	20		88,76
GVT2ET3	24		94,99
GBT2ET1	0		0
GBT2ET1	2		6,62
GBT2ET1	4		36,10
GBT2ET1	6		46,73
GBT2ET1	8		75,17
GBT2ET1	12		86,93
GBT2ET1	16		98,56
GBT2ET1	20		101,36
GBT2ET1	24		104,90
GBT2ET2	0		0
GBT2ET2	2		6,12
GBT2ET2	4		36,15
GBT2ET2	6		42,70
GBT2ET2	8		70,10
GBT2ET2	12		99,54
GBT2ET2	16		100,29
GBT2ET2	20		104,01
GBT2ET2	24		104,09
GBT2ET3	0		0
GBT2ET3	2		6,84
GBT2ET3	4		36,59
GBT2ET3	6		41,18
GBT2ET3	8		69,19
GBT2ET3	12		93,43
GBT2ET3	16		100,55
GBT2ET3	20		102,78
GBT2ET3	24		100,43
PVT2ET1	0		0
PVT2ET1	2		25,75
PVT2ET1	4		47,33
PVT2ET1	6		57,97
PVT2ET1	8		71,85
PVT2ET1	12		91,08
PVT2ET1	16		97,53
PVT2ET1	20		96,57
PVT2ET1	24		97,83
PVT2ET2	0		0
PVT2ET2	2		28,87
PVT2ET2	4		46,92
PVT2ET2	6		58,57
PVT2ET2	8		67,13
PVT2ET2	12		87,63
PVT2ET2	16		94,19
PVT2ET2	20		96,15
PVT2ET2	24		96,01
PVT2ET3	0		0
PVT2ET3	2		25,87
PVT2ET3	4		45,81
PVT2ET3	6		56,12
PVT2ET3	8		66,19
PVT2ET3	12		86,81
PVT2ET3	16		98,52
PVT2ET3	20		100,95
PVT2ET3	24		101,76
EXT2ET1	0		0
EXT2ET1	2		3,23
EXT2ET1	4		13,42
EXT2ET1	6		33,44
EXT2ET1	8		61,52
EXT2ET1	12		97,59
EXT2ET1	16		94,54
EXT2ET1	20		100,85
EXT2ET1	24		103,81
EXT2ET2	0		0
EXT2ET2	2		5,35
EXT2ET2	4		13,99
EXT2ET2	6		37,23
EXT2ET2	8		56,17
EXT2ET2	12		83,97
EXT2ET2	16		94,51
EXT2ET2	20		97,24
EXT2ET2	24		100,26
EXT2ET3	0		0
EXT2ET3	2		4,39
EXT2ET3	4		13,27
EXT2ET3	6		35,91
EXT2ET3	8		57,59
EXT2ET3	12		94,08
EXT2ET3	16		101,17
EXT2ET3	20		104,41
EXT2ET3	24		105,48
PQT2ET1	0		0
PQT2ET1	2		48,29
PQT2ET1	4		80,53
PQT2ET1	6		91,15
PQT2ET1	8		98,10
PQT2ET1	12		103,70
PQT2ET1	16		106,15
PQT2ET1	20		107,17
PQT2ET1	24		108,07
PQT2ET2	0		0
PQT2ET2	2		49,95
PQT2ET2	4		80,99
PQT2ET2	6		92,00
PQT2ET2	8		101,90
PQT2ET2	12		103,95
PQT2ET2	16		107,90
PQT2ET2	20		107,53
PQT2ET2	24		108,50
PQT2ET3	0		0
PQT2ET3	2		48,88
PQT2ET3	4		82,02
PQT2ET3	6		89,78
PQT2ET3	8		97,74
PQT2ET3	12		101,83
PQT2ET3	16		106,91
PQT2ET3	20		107,72
PQT2ET3	24		108,52
